Name,Overall,Value,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle
Maciej Jankowski,65,0.55,56,61,65,64,64,62,49,57,60,61,72,76,77,63,76,63,83,77,71,56,50,49,63,60,55,64,50,44,33
Ryo Nagai,65,0.55,66,64,61,57,67,63,64,62,45,61,82,82,72,59,69,59,74,74,68,51,34,20,65,55,65,50,31,19,16
Mattia Minesso,65,0.53,59,60,49,59,59,67,67,60,53,67,82,73,78,61,81,61,63,71,57,62,39,22,61,63,65,59,41,24,21
Diego Nuñez,65,0.53,66,49,47,72,58,66,71,65,68,68,71,65,67,57,80,73,57,53,72,65,45,37,59,58,55,48,38,48,45
Gianvito Misuraca,65,0.53,60,61,59,64,61,63,64,64,54,65,73,76,72,63,61,66,65,67,69,60,51,31,65,65,62,62,40,22,22
David Ball,65,0.53,42,66,57,61,45,66,54,58,50,67,73,69,69,65,63,66,56,75,65,62,50,34,65,63,60,60,32,37,30
Mouaad Madri,65,0.53,60,61,49,63,57,65,59,43,57,62,74,72,80,62,73,60,73,64,60,57,36,17,64,63,57,62,36,19,14
Manfred Gollner,65,0.53,46,18,57,53,10,50,13,21,40,48,55,53,56,55,62,28,70,70,74,29,69,60,47,37,17,68,68,68,65
Matías Blázquez,65,0.53,33,19,73,62,34,25,28,32,56,45,46,43,39,52,32,64,76,60,85,27,62,61,24,26,35,56,64,63,59
Guillaume Dequaire,65,0.53,34,24,68,61,34,46,49,52,44,57,59,60,40,59,52,43,68,66,78,35,58,58,29,29,53,52,62,66,62
Ousseynou Cissé,65,0.53,44,43,67,64,40,59,40,42,62,65,50,46,33,47,43,67,67,79,90,44,73,65,42,51,46,67,57,69,55
Alex Dyer,65,0.53,56,62,58,63,50,58,55,53,59,63,69,71,75,65,74,54,65,91,63,61,74,60,69,63,48,61,57,57,55
Andrea Tabanelli,65,0.53,54,42,54,67,68,67,62,52,64,66,50,69,73,66,38,64,34,68,73,65,60,56,65,65,54,59,41,46,38
Keaghan Jacobs,65,0.53,62,46,49,71,41,59,63,59,68,66,64,62,56,67,80,65,54,86,63,44,66,53,52,55,52,69,56,63,62
Dillon Powers,65,0.53,61,55,58,69,62,64,74,67,64,69,56,58,59,65,59,71,49,58,70,69,64,56,62,63,67,65,60,59,57
Myung Joo Lee,65,0.53,53,66,60,71,44,61,52,56,57,65,71,69,81,65,67,57,73,66,71,66,67,62,69,63,53,63,55,59,47
Ben Motshwari,65,0.53,57,54,55,75,54,66,55,53,76,69,74,77,68,67,86,65,67,53,54,51,49,33,59,60,61,66,48,53,61
Amedej Vetrih,65,0.53,56,47,55,68,46,60,56,52,64,67,71,66,66,65,70,65,62,73,69,60,72,61,59,63,50,62,47,58,57
Matty Lund,65,0.53,54,58,65,65,47,56,59,54,64,66,66,67,58,64,66,67,73,73,75,61,73,64,56,62,53,65,63,65,65
Michael Ambichl,65,0.53,60,51,48,66,33,62,51,54,66,65,70,58,70,68,71,59,62,68,67,56,57,64,61,65,46,62,56,56,55
Abu Ogogo,65,0.53,55,55,58,66,59,58,51,57,62,63,71,77,72,63,78,62,87,91,85,58,80,64,58,59,58,77,65,65,61
Yosuke Kawai,65,0.53,62,58,41,69,62,65,52,56,64,66,63,62,80,58,65,53,69,60,54,65,50,58,60,62,52,52,59,64,63
Michael Lepe,65,0.53,65,30,57,69,37,57,30,35,68,64,57,42,54,66,57,49,76,73,72,38,71,70,64,66,38,59,57,59,49
Danny Mayor,65,0.53,62,62,47,62,36,75,66,50,60,66,70,73,83,59,82,60,70,68,65,70,53,56,64,72,62,69,45,37,20
René Eckardt,65,0.53,69,62,57,69,49,62,42,30,64,67,71,64,71,63,71,57,74,72,57,54,54,54,59,66,54,71,55,43,45
Luis Ruiz Sayago,65,0.53,61,33,57,54,38,61,36,35,47,60,70,73,55,62,64,29,70,69,69,31,58,65,56,39,48,58,60,63,70
Moises Hernandez,65,0.53,61,46,56,63,42,63,59,42,52,56,75,75,40,61,66,60,67,66,64,44,76,61,59,56,55,55,63,66,63
Max Dombrowka,65,0.53,61,27,46,60,21,60,29,26,39,62,73,76,74,59,67,32,68,81,70,26,53,59,49,43,32,61,62,63,66
Jairo González,65,0.53,69,41,57,60,56,64,68,67,54,63,67,64,68,57,76,64,75,68,54,56,62,58,55,56,58,62,69,68,68
Will Buckley,65,0.53,61,61,47,63,56,62,58,53,55,66,74,69,80,67,64,63,62,66,64,65,62,44,67,62,70,59,25,27,23
Mihai Răduț,65,0.53,61,58,52,61,53,65,63,61,59,64,78,76,74,61,75,63,56,69,67,58,58,28,62,63,61,61,53,41,35
Liam Sercombe,65,0.53,56,60,56,66,57,65,64,58,63,63,67,59,70,59,76,67,59,79,65,65,58,55,64,66,62,62,46,57,53
Nils Miatke,65,0.53,66,44,55,62,45,66,69,61,59,66,82,77,80,62,82,65,77,71,56,48,71,60,56,51,43,63,59,64,63
Boxuan Song,65,0.53,71,53,63,63,37,69,66,64,54,60,77,73,68,62,65,49,68,59,67,33,45,23,61,61,45,58,48,46,44
Jaime Soto,65,0.53,71,29,45,67,33,59,35,42,59,64,78,73,72,54,72,48,67,64,67,33,61,55,57,42,49,49,55,68,71
Harold Gómez,65,0.53,62,47,49,59,38,53,54,40,50,54,64,68,71,59,71,57,67,76,68,50,60,61,47,34,49,56,62,67,69
Boris Sekulić,65,0.53,59,29,58,61,26,60,49,30,53,61,71,67,58,64,67,29,70,65,69,31,63,64,53,52,46,62,62,66,64
Alberto Gerbo,65,0.53,66,42,44,58,58,68,70,32,62,62,78,79,82,60,76,64,73,73,54,60,66,65,58,57,22,59,32,58,59
Jim-Patrick Müller,65,0.53,63,55,49,62,58,67,68,42,54,62,79,81,72,60,70,66,65,82,62,61,49,32,58,52,53,61,44,36,40
Darren Maatsen,65,0.53,60,55,55,55,43,67,51,35,42,64,93,92,72,60,72,63,81,77,57,65,44,21,54,57,58,52,47,33,31
Ioan Hora,65,0.53,65,68,55,58,59,59,61,63,63,63,76,69,72,57,63,65,56,57,72,59,55,53,70,66,71,65,34,50,48
Sergio Romero,65,0.53,67,65,65,64,57,67,69,57,57,68,72,66,66,65,64,60,53,65,50,55,38,34,62,63,80,61,55,23,14
Mustafa Abdellaoue,65,0.53,52,65,59,56,66,64,52,55,35,64,64,67,78,68,78,65,73,80,60,58,48,42,70,43,70,68,29,21,13
Rodolfo Zelaya,65,0.53,49,65,54,61,59,68,57,55,49,65,62,61,68,64,70,70,53,63,61,59,47,31,65,54,66,63,18,25,13
Luis Alfonso Ledesma Galán,65,0.53,55,66,67,59,57,59,43,36,40,56,68,69,57,68,59,61,71,70,71,59,79,13,67,50,69,61,26,15,22
Issiaka Ouédraogo,65,0.53,47,64,58,54,60,67,41,30,29,69,81,85,74,56,69,69,80,69,71,63,58,14,55,47,66,68,17,20,19
Timo Gebhart,65,0.50,69,56,56,66,64,69,70,68,57,69,62,59,64,64,67,71,68,51,73,56,67,37,62,66,65,72,41,41,38
Linda Mntambo,65,0.50,63,60,43,68,57,67,53,51,70,68,70,73,68,60,82,67,66,60,65,45,56,41,57,62,55,70,60,38,47
Arnór Smárason,65,0.50,62,60,55,64,63,62,65,62,61,66,61,68,67,67,72,74,75,74,76,68,68,55,64,61,68,62,43,53,49
Benjamin Chris Muscato Selva,65,0.50,41,33,72,62,51,41,23,31,51,51,61,62,52,48,58,45,71,67,71,34,61,51,23,34,66,42,74,66,66
Thomas Konrad,65,0.50,20,22,62,39,28,25,25,21,26,34,67,67,63,64,61,57,75,59,75,23,64,64,18,43,31,68,69,67,63
Dylan McGowan,65,0.50,47,55,66,62,27,53,44,40,58,56,44,47,55,66,62,52,76,76,76,32,69,65,44,37,46,65,62,62,59
Dairin González,65,0.50,29,27,67,51,23,39,27,30,46,47,40,47,37,64,36,46,51,57,92,29,74,65,25,42,35,47,54,66,53
Teng Yi,65,0.50,31,34,58,60,28,30,43,40,56,53,35,45,34,60,34,61,58,74,86,25,65,61,27,31,41,56,65,65,63
Christopher Routis,65,0.50,65,45,64,67,39,63,43,63,64,60,52,59,63,60,49,69,70,72,81,56,60,58,54,48,57,61,62,65,62
Tom Parkes,65,0.50,44,27,60,58,25,51,47,38,54,55,52,61,52,58,45,54,76,76,84,26,75,56,33,47,29,58,55,67,62
Viktor Agardius,65,0.50,65,26,59,60,34,57,40,38,59,64,73,75,71,70,73,57,65,71,73,36,52,64,48,49,38,66,64,68,63
Clévid Dikamona,65,0.50,22,15,62,55,17,52,24,21,59,50,58,63,58,55,38,38,62,60,86,21,84,59,12,39,31,50,56,60,66
Paulo Bernard Zanon Regalo,65,0.50,39,43,69,49,45,32,42,43,71,55,63,57,56,53,47,62,66,74,75,52,84,71,32,42,58,51,67,71,55
Yunlong Fan,65,0.50,66,54,45,67,35,68,68,67,66,66,71,75,83,62,64,53,60,67,74,44,72,53,63,65,43,54,45,61,43
Jimmy Ryan,65,0.50,60,52,37,67,49,64,61,60,63,67,59,62,64,65,75,62,66,65,69,62,67,58,62,67,50,80,62,62,61
Vitor Gomes Pereira Jr.,65,0.50,64,53,51,70,57,62,70,68,64,63,64,60,63,63,78,72,64,60,60,70,64,63,56,63,70,64,62,64,65
Oliver Bozanic,65,0.50,64,59,60,64,60,64,66,66,62,66,75,69,76,61,69,65,62,78,65,68,56,65,67,63,71,49,73,55,45
Ryan Flynn,65,0.50,69,55,55,63,56,62,70,64,65,65,67,61,83,66,58,61,66,74,54,60,65,59,60,66,58,72,58,61,58
Davide Di Quinzio,65,0.50,65,59,58,70,60,67,61,67,64,67,80,78,76,65,76,70,69,70,59,64,58,61,55,58,62,61,59,56,55
Manuel Stiefler,65,0.50,61,48,55,70,52,67,54,45,60,68,72,75,76,65,72,57,65,83,63,46,63,55,63,66,42,61,36,48,43
Ezekiel Fryers,65,0.50,63,35,60,58,32,64,62,63,54,60,75,77,73,63,64,51,72,63,70,38,64,62,55,50,43,57,63,64,63
Hassan Kadish,65,0.50,65,30,61,58,29,57,51,55,56,62,74,73,74,59,60,58,84,76,77,53,61,59,60,54,40,49,65,63,63
Ben Pringle,65,0.50,68,62,36,62,60,61,70,68,62,65,63,61,75,64,70,66,59,79,59,67,66,54,60,66,65,64,55,45,52
Kaoru Takayama,65,0.50,59,58,55,61,67,67,62,60,56,63,68,77,70,61,65,65,72,80,59,59,56,23,62,59,65,61,44,22,24
David Templeton,65,0.50,62,61,54,60,54,68,57,60,53,64,74,78,76,60,74,64,57,61,63,60,54,48,65,62,58,62,42,46,42
Matt Done,65,0.50,62,57,47,62,57,62,60,56,54,63,77,77,77,62,76,63,68,79,67,59,58,55,61,62,59,66,55,60,53
Mauro Fernández,65,0.50,67,67,48,68,61,69,53,42,57,70,68,49,46,59,72,78,33,33,52,47,30,20,67,64,66,65,23,35,34
Malek Chergui,65,0.50,58,63,58,60,58,67,60,66,54,66,74,73,74,62,70,66,72,54,65,55,54,24,68,61,59,57,34,25,23
Adrian Popa,65,0.50,59,56,41,62,54,67,58,62,58,64,78,73,83,66,77,61,62,65,52,59,41,55,63,62,52,61,42,41,40
Abdelaziz Ali Guechi,65,0.48,38,18,68,55,19,35,24,28,45,39,50,46,49,65,58,27,68,63,67,17,50,67,19,39,37,45,66,69,67
Ash Taylor,65,0.48,22,40,69,51,21,41,56,20,43,49,57,60,66,51,61,44,74,69,88,27,65,57,23,41,39,54,60,65,64
Stephane Acka,65,0.48,33,22,61,60,29,35,29,33,48,49,64,63,48,56,65,53,80,70,76,28,58,58,27,29,46,56,62,69,67
Francisco Pablo Cruz Torres,65,0.48,33,28,62,61,33,40,42,40,60,58,49,61,66,59,63,57,85,78,78,35,70,63,36,47,38,62,60,60,61
Warren Creavalle,65,0.48,47,56,62,66,30,61,50,33,55,65,74,69,72,64,68,45,67,72,72,43,72,65,54,55,44,61,65,61,60
Tanju Öztürk,65,0.48,46,32,72,59,37,49,40,38,63,58,53,40,53,64,47,60,34,71,84,55,74,61,44,51,34,55,65,66,60
Mamoutou N'Diaye,65,0.48,55,41,66,65,46,61,42,58,62,64,68,69,72,61,67,61,86,70,73,55,74,64,55,58,61,66,61,64,63
Marcin Budziński,65,0.48,63,63,59,66,54,66,60,57,66,67,63,60,62,69,69,67,52,73,71,66,65,62,63,66,44,67,55,60,57
Ryo Takeuchi,65,0.48,55,57,58,67,43,62,51,50,62,63,66,65,69,50,71,65,82,78,72,68,63,60,58,68,49,56,65,64,60
Ibréhima Coulibaly,65,0.48,52,29,49,63,32,57,40,37,59,60,57,55,51,60,64,56,69,79,72,50,76,63,50,51,44,48,62,68,67
Donny Gorter,65,0.48,69,58,47,67,65,63,71,67,64,65,63,47,72,64,77,68,74,58,63,65,82,64,64,60,80,70,58,66,62
Jin Hyung Song,65,0.48,65,58,56,65,58,64,64,71,63,63,74,81,76,63,80,63,38,63,54,59,67,52,63,72,67,63,55,59,63
Michael O'Connor,65,0.48,59,53,58,68,47,54,64,70,66,65,63,63,66,64,67,72,51,77,78,67,75,62,57,62,63,63,60,59,55
Magnus Lekven,65,0.48,64,47,60,68,67,63,68,61,65,64,62,58,73,60,81,67,73,76,72,62,73,61,62,67,43,72,56,55,43
Patrick Salomon,65,0.48,48,51,55,65,50,61,64,69,57,63,62,60,69,68,71,67,72,78,69,59,69,65,66,64,40,68,57,59,56
Adam Eriksson,65,0.48,69,38,50,63,44,63,69,60,63,63,73,80,60,60,60,71,59,82,72,51,60,60,52,62,48,56,61,58,59
Lorenzo Burnet,65,0.48,68,44,59,60,31,65,37,38,58,62,74,74,75,62,85,42,61,66,59,32,70,64,58,60,57,60,63,63,60
Callum Booth,65,0.48,64,45,66,60,12,62,58,57,56,61,72,72,73,64,61,52,80,79,71,55,72,59,15,35,34,59,62,64,59
Miquel Nelom,65,0.48,68,48,53,62,58,64,66,68,68,65,75,71,80,63,81,72,83,69,58,62,62,56,57,66,55,60,62,63,65
Claudio Jopia,65,0.48,59,44,57,65,27,68,56,32,64,65,75,74,66,57,69,55,69,83,75,51,57,58,65,57,38,59,62,64,61
Lee Brown,65,0.48,61,47,62,62,45,58,64,62,59,60,69,72,64,60,77,67,80,85,78,58,57,58,49,57,67,71,65,64,62
Jørgen Skjelvik,65,0.48,52,37,54,64,45,59,54,55,58,60,81,80,72,56,64,61,71,78,71,48,67,64,54,54,46,55,61,64,63
Stian Ringstad,65,0.48,66,51,54,63,36,64,62,45,53,65,73,75,67,60,72,70,65,72,73,61,75,64,59,62,40,67,60,62,60
Valdet Rama,65,0.48,64,54,32,61,53,70,69,57,52,66,74,74,78,59,75,71,67,65,66,56,45,15,56,60,56,64,33,15,13
Jason Davidson,65,0.48,67,51,60,63,44,64,64,40,53,64,71,63,63,57,66,51,58,73,63,45,63,60,57,55,44,58,57,62,64
Haifeng Ding,65,0.48,65,47,47,65,42,65,65,69,55,67,82,77,81,64,77,49,54,70,61,31,55,62,60,64,45,59,59,57,54
Hae Seong Kwak,65,0.48,65,57,53,58,31,63,42,33,48,62,69,70,70,60,72,43,59,74,70,39,68,63,49,39,46,55,61,64,63
Niklas Gunnarsson,65,0.48,58,46,62,63,44,54,40,35,57,61,65,67,47,58,62,63,52,72,81,42,67,61,56,55,40,59,67,66,64
Stephan Auer,65,0.48,63,49,53,63,43,63,51,46,58,65,67,73,74,59,76,58,69,77,70,48,68,61,58,56,43,56,60,65,64
Michael Novak,65,0.48,62,38,61,59,35,65,51,25,55,61,74,71,71,63,76,47,53,70,70,38,67,64,56,54,44,65,66,65,61
Kazuaki Mawatari,65,0.48,63,40,45,60,56,63,58,40,64,63,68,72,59,65,70,57,58,68,63,49,61,63,51,48,41,57,63,66,62
Saad Abdul-Salaam,65,0.48,55,21,64,60,22,64,33,30,52,59,68,81,56,57,51,47,74,71,82,22,65,65,45,54,31,46,63,65,63
Koji Hachisuka,65,0.48,65,46,57,61,29,58,36,26,55,61,67,74,63,67,62,39,74,79,83,26,61,61,60,57,37,47,60,62,56
Carlos Orrantía,65,0.48,69,54,48,64,47,66,54,52,63,71,84,81,78,62,68,55,69,84,63,55,51,54,52,55,48,65,55,58,57
Amir Kurdi,65,0.48,62,48,57,64,46,58,39,49,64,59,79,73,70,60,47,59,70,83,68,59,55,58,30,62,48,55,62,66,59
Nicolas Hasler,65,0.48,64,49,65,65,36,66,66,33,61,66,63,70,70,64,70,58,74,71,64,51,69,60,60,64,47,64,61,65,62
Ryan Jackson,65,0.48,60,54,51,60,50,60,52,49,53,61,84,85,86,60,84,57,89,88,76,52,49,53,52,50,41,58,60,61,57
Phil Ofosu-Ayeh,65,0.48,54,44,59,64,44,66,60,36,53,65,78,84,69,60,71,58,71,65,77,44,65,55,54,52,40,63,64,64,66
Ole Jørgen Halvorsen,65,0.48,63,56,46,59,55,65,54,62,56,66,74,73,67,62,67,64,79,80,63,56,70,51,65,58,71,60,58,54,48
Rei Matsumoto,65,0.48,68,53,44,60,47,63,63,45,52,60,79,85,73,60,66,59,63,74,55,43,57,54,51,64,47,54,58,54,53
Armindo Mendes Furtado,65,0.48,61,56,59,60,60,68,63,63,51,65,82,81,76,61,68,67,69,61,61,55,70,18,62,58,58,66,28,22,26
Johan Bertilsson,65,0.48,58,60,46,65,57,64,64,62,58,65,75,68,72,61,76,61,82,66,59,64,44,36,66,66,56,62,34,26,23
Steven Lawless,65,0.48,63,59,38,62,53,64,65,43,58,64,71,73,82,59,91,66,92,83,59,62,45,57,58,62,65,65,58,59,59
Viktor Prodell,65,0.48,40,68,66,52,55,56,45,45,38,60,71,71,57,66,52,55,71,61,82,53,40,23,70,57,60,66,25,24,29
Goran Karanović,65,0.48,44,66,62,60,44,61,46,36,52,63,66,70,68,73,55,61,71,64,70,47,62,45,69,55,63,48,34,35,26
Quincy Amarikwa,65,0.48,54,61,59,59,59,63,49,54,42,64,67,77,78,62,86,66,72,58,75,60,75,23,66,59,43,62,41,12,15
Woong Hee Lee,65,0.45,52,22,56,56,25,57,42,45,46,56,69,74,70,60,53,24,74,71,73,52,73,62,48,55,13,55,62,65,67
John García,65,0.45,22,19,62,60,30,25,25,26,35,48,53,36,34,61,55,38,71,58,81,16,68,67,28,26,32,50,55,65,63
Marc Pedersen,65,0.45,53,34,57,56,33,50,37,25,58,54,58,68,40,56,61,54,78,75,84,23,82,53,42,54,39,50,65,60,63
Gustavo Mencia,65,0.45,66,32,67,63,27,56,29,28,61,57,62,58,53,63,59,28,67,67,70,24,57,62,45,45,33,50,65,64,66
Daniel Drescher,65,0.45,27,20,69,49,17,35,34,27,46,42,34,34,47,58,38,27,34,34,89,24,74,62,25,35,31,58,65,64,63
Linas Klimavičius,65,0.45,23,20,71,39,25,29,20,25,22,33,35,50,35,57,34,30,83,75,91,19,49,58,28,25,37,58,66,67,65
Ass Mandaw Sy,65,0.45,29,28,66,54,18,35,27,22,38,37,54,55,49,66,49,35,73,64,76,24,58,67,27,34,34,56,65,66,64
Fabian Torres,65,0.45,41,21,72,65,29,38,32,29,59,45,54,55,48,48,59,45,69,72,72,19,71,53,29,32,36,50,63,71,58
Yaw Amankwah,65,0.45,15,25,65,41,15,29,17,16,40,54,52,34,39,53,32,68,69,67,91,14,70,62,55,30,18,54,68,63,59
Jan Zwischenbrugger,65,0.45,46,43,67,59,40,51,51,37,53,53,55,67,64,59,51,56,59,64,75,48,62,65,46,62,40,57,63,66,62
Jun A Yang,65,0.45,59,51,63,53,50,58,68,71,53,59,53,50,66,64,59,63,75,70,81,63,64,62,51,54,50,63,61,62,61
Dionicio Escalante,65,0.45,62,43,60,63,38,55,54,40,61,60,61,65,57,63,46,56,61,66,76,57,69,60,52,57,43,62,57,64,66
Nam Chun Kim,65,0.45,24,16,65,67,24,25,30,22,67,36,53,33,63,57,66,37,77,65,81,22,69,65,23,44,34,55,56,68,65
James Clarke,65,0.45,55,33,63,58,42,54,47,30,54,56,60,61,48,60,54,60,75,72,78,48,68,62,45,46,42,54,63,64,62
Ryan McGowan,65,0.45,59,44,67,59,54,57,52,55,58,59,64,69,58,60,61,58,43,81,76,42,79,63,43,45,58,61,54,66,65
Alexis Hinestroza,65,0.45,40,26,66,68,34,47,33,52,68,55,56,59,53,62,58,46,57,72,87,33,70,63,43,59,42,66,62,59,51
Luis Paz,65,0.45,44,57,61,62,31,55,55,46,73,65,70,61,67,59,71,51,71,72,63,52,44,64,65,62,59,54,60,67,63
Marc Kibong Mbamba,65,0.45,51,54,42,65,49,64,52,43,62,68,75,70,73,72,74,72,39,69,74,65,76,53,60,61,62,68,69,62,50
Luis Ernesto Pérez,65,0.45,58,49,51,65,42,61,50,47,61,65,71,71,67,65,67,64,55,68,64,59,62,64,44,64,45,55,67,62,60
Stephen Gleeson,65,0.45,65,60,51,66,65,59,63,66,66,64,59,66,68,63,75,69,74,73,70,69,72,61,59,63,57,67,61,62,60
Lukáš Droppa,65,0.45,60,37,44,64,37,51,48,43,59,58,57,64,63,62,60,66,57,72,79,63,65,64,43,62,46,59,61,65,62
Adam Matuszczyk,65,0.45,58,57,66,66,61,62,56,57,66,67,64,61,70,60,73,71,74,71,61,66,59,66,56,65,53,66,58,64,63
Yasin Pehlivan,65,0.45,43,50,61,66,70,61,48,37,60,62,68,71,72,70,58,70,70,81,65,66,71,65,43,61,44,63,53,60,56
Ibrahim Al Zubaidi,65,0.45,68,31,48,63,25,61,55,31,51,63,73,75,76,61,74,35,65,73,64,34,66,56,56,44,31,60,55,68,64
Leonardo Saldaña,65,0.45,64,35,48,58,40,59,64,68,50,58,79,79,70,66,84,66,76,67,43,62,68,61,52,54,38,53,63,60,62
Theerathon Bunmathan,65,0.45,68,40,58,66,33,61,66,63,58,70,67,68,71,66,75,45,71,70,63,41,57,64,57,48,61,53,62,62,53
Roel Janssen,65,0.45,68,35,62,67,28,59,45,35,63,62,59,51,59,63,67,56,61,72,62,39,72,66,43,41,41,65,61,66,66
Mohammed Fayez,65,0.45,53,27,65,64,32,57,56,36,48,63,77,72,64,60,63,45,80,69,71,34,67,69,40,55,35,61,56,65,60
Amiran Sanaia,65,0.45,60,38,62,67,17,51,58,59,56,61,54,63,60,59,69,43,73,75,67,34,67,64,43,43,48,56,65,64,66
Fabio Castillo,65,0.45,67,37,52,57,35,58,36,29,52,61,67,68,70,60,71,33,76,75,58,39,53,67,50,49,37,60,62,64,65
Joseph Mills,65,0.45,66,43,55,58,44,63,66,67,59,60,76,74,74,60,75,57,73,81,69,52,62,60,58,58,56,64,61,62,60
Jae Suk Oh,65,0.45,56,31,62,58,31,51,31,32,33,59,53,56,69,65,62,37,55,71,76,35,49,61,42,31,34,59,63,75,74
Kgotso Moleko,65,0.45,61,51,48,63,56,68,56,46,66,69,78,77,58,49,68,49,45,70,55,42,49,60,54,56,55,62,65,67,64
Lars Krogh Gerson,65,0.45,70,41,61,66,49,61,70,65,64,62,55,55,66,64,55,73,52,83,74,54,76,66,52,65,64,67,52,63,54
Chris Erskine,65,0.43,60,65,58,65,58,69,60,36,59,69,65,64,70,61,56,67,61,52,65,62,44,25,56,62,49,64,26,22,28
Ben Coker,65,0.43,67,37,56,63,32,64,62,61,62,63,73,73,70,60,68,60,67,71,67,51,51,60,56,60,52,58,62,64,63
Luis Mosquera,65,0.43,66,55,56,62,47,56,73,71,57,62,63,69,67,62,70,67,68,74,65,68,66,63,63,62,66,55,65,63,59
Léo Schwechlen,65,0.43,64,16,70,65,17,45,25,35,44,60,60,52,56,66,60,18,71,71,74,14,68,66,39,36,29,59,60,67,67
Awadh Khamis Al Faraj,65,0.43,53,46,50,67,42,65,49,41,63,68,70,71,71,70,71,55,49,80,64,58,71,62,59,64,44,65,59,64,58
Daniel Lafferty,65,0.43,66,49,59,62,37,62,62,53,59,60,68,65,72,57,65,62,73,78,62,55,61,63,53,45,45,52,64,65,63
Yang Xu,65,0.43,63,62,59,65,61,67,57,52,60,64,60,62,72,61,82,63,56,72,59,67,62,54,69,65,49,55,43,47,43
Liam Feeney,65,0.43,63,53,43,61,58,67,67,53,57,63,72,78,75,61,70,63,54,75,67,60,49,40,61,60,51,56,32,49,45
Wenzhao Zhang,65,0.43,65,55,57,63,58,64,57,58,58,60,80,78,73,64,83,61,65,61,56,58,65,52,61,64,43,52,55,51,50
Tsukasa Umesaki,65,0.43,59,60,44,67,66,68,64,64,64,68,65,57,74,61,77,68,52,73,61,70,41,37,65,69,69,65,43,41,39
Emanuel Schreiner,65,0.43,62,51,52,63,52,62,59,54,53,62,68,70,71,62,68,59,66,73,69,54,73,62,53,54,45,57,59,65,61
Radoslav Dimitrov,65,0.43,63,50,61,59,32,58,46,29,56,59,63,62,59,68,74,56,71,71,66,30,56,63,45,37,35,63,65,65,66
Guillermo Pacheco,65,0.43,64,27,54,55,21,59,61,32,62,58,80,81,66,56,59,22,66,72,71,22,67,59,58,49,64,55,65,62,63
Omar Mendoza,65,0.43,60,22,59,60,27,58,53,35,56,62,67,68,68,63,58,44,66,74,72,39,77,64,52,42,28,58,58,65,65
Gang Wang,65,0.43,65,52,62,59,35,67,58,58,60,59,79,75,65,64,45,68,68,81,84,55,60,62,58,60,36,67,56,61,55
Mark Little,65,0.43,59,33,56,59,26,61,45,25,56,60,76,78,74,66,58,36,71,79,72,29,55,61,61,56,49,52,58,60,59
Mark Marshall,65,0.43,65,59,31,59,28,67,64,64,54,63,88,90,92,49,91,62,75,69,60,59,56,34,60,52,52,55,64,33,34
Razak Boukari,65,0.43,63,61,63,62,59,66,62,62,52,65,74,72,69,61,56,66,50,32,72,57,59,23,64,59,65,58,22,29,23
Xu Yang,65,0.43,37,62,72,56,57,57,63,67,48,61,42,59,56,64,59,72,70,63,80,47,58,11,71,44,48,59,21,34,24
Grzegorz Kuświk,65,0.43,56,63,67,66,61,64,55,37,54,65,68,68,70,51,68,65,91,75,67,59,50,36,66,46,58,60,20,26,24
Simon Cox,65,0.43,55,67,59,61,65,62,58,51,56,64,56,60,65,63,65,68,73,76,69,62,65,44,67,60,66,64,31,31,22
Umaru Bangura,65,0.40,50,38,59,63,49,55,46,49,61,54,77,75,71,65,70,57,84,82,77,59,69,62,53,59,51,68,60,62,61
Michael Almebäck,65,0.40,46,21,62,44,31,34,27,23,50,42,71,75,54,58,65,48,74,74,80,33,76,60,18,38,28,52,64,64,66
Christophe Diedhiou,65,0.40,25,24,66,47,24,35,28,32,32,39,63,67,44,50,50,34,73,55,76,22,75,65,23,32,39,57,66,64,61
Sidnei Adrián Dalmeira Nunes,65,0.40,29,32,63,58,39,49,37,40,47,64,67,62,64,59,60,48,67,58,71,30,61,58,38,31,43,52,76,62,59
Kai Gehring,65,0.40,25,21,64,52,27,41,24,29,51,50,44,41,40,64,41,32,46,65,86,24,80,63,27,34,37,65,61,62,60
Igor Armaș,65,0.40,37,22,70,61,13,28,41,33,54,49,46,47,44,59,47,59,35,72,82,40,67,62,27,45,38,68,60,68,65
Han Jin Kweon,65,0.40,40,43,59,56,31,48,22,25,58,55,52,53,48,55,60,36,73,60,69,37,52,67,34,42,33,50,67,67,68
Matthieu Sans,65,0.40,41,32,69,60,32,38,51,42,62,52,39,34,35,47,31,45,50,67,73,39,71,69,19,29,26,48,68,65,59
Alexandru Dandea,65,0.40,31,33,66,62,36,47,34,35,63,52,43,42,51,63,44,40,69,68,78,34,68,64,37,47,41,58,59,64,64
Sido Jombati,65,0.40,53,34,62,58,35,52,48,52,54,54,67,65,63,58,55,50,76,73,76,31,57,62,44,47,40,58,64,64,63
Rostyn Griffiths,65,0.40,53,47,65,63,36,60,48,59,62,61,50,51,54,59,63,60,66,65,82,52,84,61,53,56,47,61,62,63,62
